ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00000,chromosphere_100p,0.0026690420734398045,25.736445801582683,0.8509631713968702,11,4.5,50
00001,chromosphere_100p,0.002163487428774276,26.648456239826245,0.8820790857716929,11,4.5,50
00002,chromosphere_100p,0.0032372429655795347,24.898247041653512,0.8556109520650352,11,4.5,50
00003,chromosphere_100p,0.0033389358022655473,24.763919310474122,0.7860302330809645,11,4.5,50
00004,chromosphere_100p,0.0027628126638485,25.586485619945,0.7962786587013397,11,4.5,50
00005,chromosphere_100p,0.007680486651809116,21.146112612836742,0.7664857738081992,11,4.5,50
00006,chromosphere_100p,0.004432445758383873,23.533565703302504,0.764116740130703,11,4.5,50
00007,chromosphere_100p,0.0020578430611321733,26.865877492447268,0.8362297693820437,11,4.5,50
00008,chromosphere_100p,0.0017158631113873783,27.655173623733518,0.8887654880963964,11,4.5,50
00009,chromosphere_100p,0.004160361106138498,23.808689723547193,0.8023356367702945,11,4.5,50
00010,chromosphere_100p,0.001509241400847709,28.212412899320203,0.8674022436753148,11,4.5,50
00011,chromosphere_100p,0.005455013889692745,22.63204139262764,0.7768539302596764,11,4.5,50
00012,chromosphere_100p,0.0016301707834463508,27.877668947230237,0.8900619927590014,11,4.5,50
00013,chromosphere_100p,0.005759892574422883,22.395856163633194,0.8039784463180695,11,4.5,50
00014,chromosphere_100p,0.0060114728610368194,22.21019109186272,0.7011319983646445,11,4.5,50
00015,chromosphere_100p,0.0035295127753344688,24.52285241804217,0.8201881481218152,11,4.5,50
00016,chromosphere_100p,0.006032484619075111,22.195037767311238,0.8337583239117521,11,4.5,50
00017,chromosphere_100p,0.004962017649947747,23.043416952711297,0.8370652143057669,11,4.5,50
00018,chromosphere_100p,0.0037619790225015275,24.245836304861264,0.8218180948751979,11,4.5,50
00019,chromosphere_100p,0.010802739389759758,19.664661009019685,0.6858113947189395,11,4.5,50
00020,chromosphere_100p,0.008778169700481805,20.56596027584184,0.7936150174864451,11,4.5,50
00021,chromosphere_100p,0.004526047516190357,23.442808909665864,0.7919346809085255,11,4.5,50
00022,chromosphere_100p,0.005912438175495675,22.28233387511038,0.7941764024726581,11,4.5,50
00023,chromosphere_100p,0.0031611622373922048,25.001532146962898,0.8161132498062216,11,4.5,50
00024,chromosphere_100p,0.0021839329702102715,26.607606952321966,0.8261684979806887,11,4.5,50
00025,chromosphere_100p,0.003283411123634937,24.836747348316365,0.8087546966926311,11,4.5,50
00026,chromosphere_100p,0.0027750974148920975,25.56721767133185,0.8319458005644265,11,4.5,50
00027,chromosphere_100p,0.0026608989471381913,25.749716183210634,0.8813517174421577,11,4.5,50
00028,chromosphere_100p,0.002376861056299958,26.239962049970632,0.8264586811346817,11,4.5,50
00029,chromosphere_100p,0.004103248781585551,23.86872150789766,0.8367614117378253,11,4.5,50
00030,chromosphere_100p,0.0013507892519549237,28.694124036445906,0.8667336576763773,11,4.5,50
00031,chromosphere_100p,0.0041990553862762585,23.768483969039718,0.8546142956911353,11,4.5,50
00032,chromosphere_100p,0.003903780857761091,24.08514569831255,0.8832875555599458,11,4.5,50
00033,chromosphere_100p,0.002435566835459404,26.133999482630387,0.783082064903283,11,4.5,50
00034,chromosphere_100p,0.005501099227356297,22.59550521291893,0.8130474468052853,11,4.5,50
00035,chromosphere_100p,0.0028875575778152334,25.394693471939544,0.8613787261638208,11,4.5,50
00036,chromosphere_100p,0.0024640917610734897,26.083431233802408,0.825179475985351,11,4.5,50
00037,chromosphere_100p,0.0030512166158271985,25.15526959280235,0.9047400073468452,11,4.5,50
00038,chromosphere_100p,0.001187463005041286,29.25379911771897,0.8780889517511241,11,4.5,50
00039,chromosphere_100p,0.0035249063126351426,24.52852421494226,0.7951629355375189,11,4.5,50
00040,chromosphere_100p,0.002754232080895332,25.599994674176703,0.8965326222241856,11,4.5,50
00041,chromosphere_100p,0.003256413525432619,24.87260450094253,0.8851546646546922,11,4.5,50
00042,chromosphere_100p,0.0018177518205399635,27.404654117232585,0.9028496167593403,11,4.5,50
00043,chromosphere_100p,0.0027895855418291426,25.544603165354687,0.9102161143164267,11,4.5,50
00044,chromosphere_100p,0.0023685700922727077,26.255137588199823,0.9011079960910138,11,4.5,50
00045,chromosphere_100p,0.0012187330342468387,29.140914169830594,0.9009347827086458,11,4.5,50
00046,chromosphere_100p,0.00322106645928571,24.920003144217574,0.8962135922338348,11,4.5,50
00047,chromosphere_100p,0.0026277693548292466,25.804127564337133,0.8834849077320541,11,4.5,50
00048,chromosphere_100p,0.08221917070768685,10.850269079849056,0.02741922463870683,11,4.5,50
00049,chromosphere_100p,0.04674519902186856,13.302629868316508,0.03729878559586877,11,4.5,50
00050,chromosphere_100p,0.06987988723600806,11.556478045022,0.04557738284135482,11,4.5,50
00051,chromosphere_100p,0.001288669543709488,28.898584354339363,0.9172585770138539,11,4.5,50
00052,chromosphere_100p,0.0019276886238886297,27.149631155825766,0.9439335142087657,11,4.5,50
00053,chromosphere_100p,0.0015003616605349026,28.238040421158694,0.9183155653299764,11,4.5,50
00054,chromosphere_100p,0.0032450259884594665,24.887818207128127,0.7212815826374026,11,4.5,50
00055,chromosphere_100p,0.00201326618703239,26.960988004135636,0.8776614862581482,11,4.5,50
00056,chromosphere_100p,0.0015200822262426534,28.18132919004183,0.8975178299660911,11,4.5,50
00057,chromosphere_100p,0.004471245691547124,23.495714653251014,0.8338670053417445,11,4.5,50
00058,chromosphere_100p,0.0013368303366339332,28.739237075766447,0.913613115757471,11,4.5,50
00059,chromosphere_100p,0.0020110467478480633,26.96577833880392,0.7898509584151725,11,4.5,50
00060,chromosphere_100p,0.0022775959293738967,26.425233220518436,0.8435997302367468,11,4.5,50
00061,chromosphere_100p,0.0020722927493387593,26.83548892536074,0.874133990786504,11,4.5,50
00062,chromosphere_100p,0.002970857408346216,25.271181924422205,0.7905890948677552,11,4.5,50
00063,chromosphere_100p,0.004583412030990579,23.38811099608321,0.8754243329167366,11,4.5,50
00064,chromosphere_100p,0.0013281531737541845,28.767518356004558,0.8918601575205685,11,4.5,50
00065,chromosphere_100p,0.0022458915333073773,26.48611222083277,0.8780015727970749,11,4.5,50
00066,chromosphere_100p,0.0017343789995891757,27.60855993685154,0.9303428073326359,11,4.5,50
00067,chromosphere_100p,0.0011962900417726776,29.2216351242941,0.8886326092542731,11,4.5,50
00068,chromosphere_100p,0.0014208786655185515,28.4744300662257,0.8409309802154894,11,4.5,50
00069,chromosphere_100p,0.0005303948533158909,32.75400698757418,0.9406812657980481,11,4.5,50
00070,chromosphere_100p,0.001695355328137427,27.70739264495337,0.9163371391550754,11,4.5,50
00071,chromosphere_100p,0.0013722668542603276,28.62561426483818,0.8781519797994406,11,4.5,50
00072,chromosphere_100p,0.0008211073589079862,30.856000556295488,0.9236156588012818,11,4.5,50
00073,chromosphere_100p,0.0034268480948264975,24.651051465303887,0.8780600100071752,11,4.5,50
00074,chromosphere_100p,0.0029690326697301562,25.273850236213782,0.8826032550969103,11,4.5,50
00075,chromosphere_100p,0.0025458231536736164,25.94171768023768,0.912796202217578,11,4.5,50
00076,chromosphere_100p,0.00150116568708066,28.235713710387557,0.8508478675867082,11,4.5,50
00077,chromosphere_100p,0.002694260282742316,25.695604509670105,0.9027901290100999,11,4.5,50
00078,chromosphere_100p,0.0017033008873421455,27.68708627333957,0.8854282466345467,11,4.5,50
00079,chromosphere_100p,0.0014322372610316438,28.43985031873439,0.9066575749020558,11,4.5,50
00080,chromosphere_100p,0.002000363179134333,26.98891148148541,0.8982800524390768,11,4.5,50
00081,chromosphere_100p,0.00179035348355774,27.470612143817593,0.8981126551807392,11,4.5,50
00082,chromosphere_100p,0.001727700226754115,27.625316097509206,0.8889777057629544,11,4.5,50
00083,chromosphere_100p,0.0011007265082233597,29.58320574510575,0.9068673304718686,11,4.5,50
00084,chromosphere_100p,0.001318893399073858,28.7979030533681,0.9013560126913944,11,4.5,50
00085,chromosphere_100p,0.0020982561614019644,26.78141492933577,0.8979304804088315,11,4.5,50
00086,chromosphere_100p,0.0023963728678057703,26.20445606219439,0.857506782082055,11,4.5,50
00087,chromosphere_100p,0.0007475326859974864,31.263698129861517,0.9056726553681074,11,4.5,50
00088,chromosphere_100p,0.0007389512006845038,31.313842408652725,0.9101409271388547,11,4.5,50
00089,chromosphere_100p,0.001724433892642623,27.633534499546506,0.9161788655910641,11,4.5,50
00090,chromosphere_100p,0.002157286888198019,26.660920961230687,0.868015720792755,11,4.5,50
00091,chromosphere_100p,0.001772019182456064,27.515315811003642,0.9131748812797014,11,4.5,50
00092,chromosphere_100p,0.0009535865585677982,30.206398792281846,0.9376892017462524,11,4.5,50
00093,chromosphere_100p,0.0014247527132537365,28.46260507296751,0.9324672516377177,11,4.5,50
00094,chromosphere_100p,0.001993857445359268,27.003058956266695,0.9165234445099486,11,4.5,50
00095,chromosphere_100p,0.0012428348410845988,29.05586580426163,0.9313893538055709,11,4.5,50
00096,chromosphere_100p,0.0016899714440794164,27.721206337197653,0.9452486847294495,11,4.5,50
00097,chromosphere_100p,0.0031246515290004463,25.051984095105617,0.9027493440953549,11,4.5,50
00098,chromosphere_100p,0.0023319716878869587,26.322767265841662,0.9210760220594238,11,4.5,50
00099,chromosphere_100p,0.04155902103265646,13.813346912669962,-0.011548775193535255,11,4.5,50
